,musica,cantor
0,Touch,Mere Raj
1,Manslaughter (feat. Rick Ross & The-Dream),"Pop Smoke, Rick Ross, The-Dream"
2,Tudo Dia,Psyco Pdz
3,Papaia,Dillaz
4,Malandro,Aragão
5,Coisas Na Life,Plutonio
6,Body,Fábio Hustle
7,SAD!,XXXTENTACION
8,Lean,Propanity
9,STL,C2
10,Tocaia,A35 Gvng
11,Malvadão,"PTK, TcheloBeats, mc jhenny"
12,AIAI,Aka Rasta
13,Mundo,"Pcc, KANDENGUE"
14,Avé Maria (feat. MC Zuka),"Supa Squad, MC Zuka"
15,Maze Runnerz - Bonus Track,Hevvy x Fukk
16,In The Bible (with Lil Durk & Giveon),"Drake, Lil Durk, Giveon"
17,Homicide (feat. Eminem),"Logic, Eminem"
18,No Role Modelz,J. Cole
19,Party,"Bad Bunny, Rauw Alejandro"
20,1%,TVN
21,"Leans, Pt. 2","Yunk Vino, Volp"
22,BLESSED,Greg Ferreira
23,X (feat. Maluma & Ozuna) - Remix,"Nicky Jam, J Balvin, Maluma, Ozuna"
24,100 VIBES,T-Rex
25,Level Up,Zirio
26,Lua,Ivandro
27,Welcome to the Party,"MS Capone, Horrid MX"
28,Coisas Que Gostas,TAY
29,Touro,"Xamã, Neo Beats"
30,Vampiro,"Matuê, WIU, Teto"
31,Nu Ta Stika,"Ricky Man, Kady"
32,Emiliana,CKay
33,"Oi, Sumido","N.I.N.A, Zarashi, Terra"
34,VI,Lhast
35,30,Piri_bxd
36,IMPORTED (with 6LACK),"Jessie Reyez, 6LACK"
37,Rotina Di Lokos,PDS GANG
38,Sólido,Instinto 26
39,Me Cansei,"Dj Black Spygo, Soarito"
40,The Feels,melvitto
41,Papo Reto,Loreta Kba
42,Lume,"Ferry RBL, Nex Supremo, Mini God KK"
43,Disparar,"Kizzy, Azevedo, Mainstreet, Borges, Orochi, BIN"
44,Firma,Gama WNTD
45,Vuur,Broederliefde
46,PRA MIM,T-Rex
47,Lisabona,Plutonio
48,ANTI-ANTES,T-Rex
